venda_id,cliente_id,produto_id,tempo_id,quantidade,valor_total
231,336,20,137,2,3627.66
232,196,88,173,3,9586.41
233,899,168,7,2,9331.0
234,749,291,275,1,3288.9
235,385,93,172,1,1881.93
236,110,74,212,4,14864.36
237,619,120,108,4,4626.08
238,584,60,5,2,4793.36
239,4,225,353,3,8879.28
240,744,89,192,7,9495.64
241,952,376,287,10,19582.2
242,746,92,218,8,37669.12
243,974,261,177,5,16070.9
244,823,186,322,6,21326.94
245,658,409,356,8,36670.64
246,991,222,102,9,18609.48
247,712,138,189,7,24961.3
248,380,357,204,9,2932.92
249,331,376,120,2,3916.44
250,445,366,273,10,31708.1
251,586,368,4,1,3109.01
252,594,93,106,10,18819.3
253,814,95,356,3,4051.56
254,165,181,2,5,13505.7
255,313,103,148,6,27140.46
256,150,447,92,8,5599.84
257,43,103,27,9,40710.69
258,158,65,196,1,1432.76
259,238,490,347,5,23226.5
260,268,64,316,4,17353.12
261,67,428,16,4,5640.72
262,623,159,176,9,3925.17
263,664,140,213,2,6939.5
264,943,167,169,6,7767.96
265,646,478,356,7,534.8
266,541,323,225,8,28450.0
267,263,285,225,1,4537.41
268,432,171,328,10,48832.7
269,233,483,271,7,23938.11
270,921,276,18,4,17095.72
271,422,64,356,2,8676.56
272,181,250,148,2,2608.26
273,240,236,144,2,5528.08
274,569,405,160,8,24748.4
275,828,373,79,5,4839.85
276,411,241,58,8,28019.2
277,109,286,364,4,15677.12
278,894,399,256,5,7440.55
279,386,159,278,7,3052.91
280,186,226,261,7,33993.82
281,162,482,138,2,2900.98
282,208,18,168,10,32297.4
283,378,58,119,5,21281.3
284,584,424,303,10,13586.8
285,896,271,206,7,26348.14
286,343,391,20,1,3707.73
287,792,50,172,4,18846.36
288,613,277,110,9,7778.88
289,893,82,49,1,2236.6
290,263,340,176,6,17927.1
291,559,147,24,7,28292.74
292,807,190,154,7,11153.17
293,488,144,41,8,9484.24
294,152,41,244,10,20686.9
295,256,254,346,7,24268.72
296,389,347,323,8,31812.16
297,13,100,275,8,9299.84
298,59,10,294,8,5138.16
299,815,353,10,2,8716.78
300,79,58,101,6,25537.56
301,834,101,95,4,15589.36
302,213,102,3,6,3241.5
303,597,301,118,6,27861.24
304,325,283,161,6,14313.6
305,178,244,119,5,7353.65
306,732,116,176,6,4600.38
307,192,187,329,9,19696.41
308,3,207,233,1,3295.01
309,646,281,317,6,10608.72
310,809,432,114,1,176.58
311,228,113,242,5,8089.8
312,300,384,323,1,952.84
313,634,322,184,7,8380.26
314,125,24,331,4,17029.12
315,370,450,112,2,2389.9
316,192,33,77,1,2074.87
317,332,91,177,9,9830.43
318,881,419,87,3,6453.03
319,270,308,36,3,1923.9
320,735,292,17,8,18442.72
321,217,119,11,2,7460.88
322,155,38,65,3,5756.79
323,334,388,175,9,32687.73
324,521,128,305,9,2295.9
325,115,228,95,10,33875.5
326,31,416,144,7,28720.86
327,869,17,71,6,11592.24
328,498,79,235,3,13344.15
329,18,178,143,4,6875.88
330,512,58,228,1,4256.26
331,3,230,228,5,1766.65
332,77,302,326,4,14120.84
333,199,164,295,7,22322.16
334,710,115,89,5,6545.45
335,444,390,127,3,130.44
336,53,299,235,8,5504.56
337,567,95,103,3,4051.56
338,818,219,358,2,3305.02
339,991,474,235,4,17874.64
340,178,6,348,9,30624.84
341,278,485,41,7,5127.71
342,938,191,321,9,34088.31
343,700,465,335,2,8922.46
344,417,449,190,7,6938.61
345,815,333,216,4,11674.32
346,961,459,187,6,24845.94
347,235,419,130,1,2151.01
348,269,493,111,2,5587.22
349,952,379,141,1,2883.36
350,481,247,225,8,36692.8
351,620,123,256,1,4085.64
352,673,84,337,1,4967.42
353,791,335,196,6,3875.22
354,636,495,167,3,14067.84
355,629,137,28,4,17445.72
356,434,200,243,2,2699.36
357,676,29,8,3,12311.46
358,68,299,313,6,4128.42
359,561,208,96,4,17619.12
360,909,20,188,1,1813.83
361,436,209,141,1,3677.81
362,217,478,355,10,764.0
363,783,75,246,5,6740.3
364,298,273,223,1,2798.76
365,571,327,262,4,15280.84
366,765,120,133,3,3469.56
367,919,420,3,3,11447.19
368,16,133,314,7,25100.39
369,115,344,318,5,3555.65
370,970,237,175,1,1466.2
371,589,104,94,10,44091.9
372,322,401,49,8,17265.28
373,792,340,168,3,8963.55
374,754,115,64,6,7854.54
375,897,478,151,3,229.2
376,448,49,78,9,8119.17
377,913,441,216,6,22249.08
378,204,424,213,6,8152.08
379,843,486,168,10,38879.2
380,410,54,133,7,20762.07
381,735,403,295,5,22473.95
382,942,96,363,1,3893.72
383,198,17,104,6,11592.24
384,902,95,141,7,9453.64
385,169,379,326,8,23066.88
386,368,392,191,2,1733.16
387,478,166,31,5,21982.85
388,411,376,47,4,7832.88
389,530,95,222,3,4051.56
390,964,46,233,3,4246.83
391,865,422,30,10,2736.4
392,970,156,97,9,11809.08
393,689,397,285,4,17787.84
394,147,3,279,7,17387.09
395,295,193,341,5,10171.7
396,39,140,149,9,31227.75
397,358,292,104,10,23053.4
398,963,136,213,5,570.65
399,983,432,336,3,529.74
400,534,205,287,9,28569.6
401,888,380,158,5,17462.3
402,629,217,11,7,26354.44
403,346,134,252,9,18595.17
404,735,289,28,7,8355.34
405,404,76,223,4,1779.8
406,701,432,279,6,1059.48
407,995,87,155,4,18010.44
408,304,395,343,1,2272.38
409,499,25,275,1,1221.4
410,231,49,319,8,7217.04
411,652,37,58,3,3690.99
412,509,265,58,8,14934.72
413,19,90,80,1,1471.15
414,68,347,240,10,39765.2
415,605,266,358,7,29578.36
416,962,135,13,3,4425.54
417,552,128,305,7,1785.7
418,989,450,126,10,11949.5
419,240,263,218,10,10726.6
420,158,400,268,1,4668.55
421,524,88,301,8,25563.76
422,129,224,171,4,16249.72
423,785,421,53,9,26366.13
424,548,463,32,8,3328.96
425,435,408,121,4,240.28
426,656,160,109,3,3863.28
427,263,312,36,5,20120.0
428,130,83,249,5,10103.25
429,907,90,265,1,1471.15
430,855,399,314,4,5952.44
431,849,151,82,8,19292.72
432,504,127,134,8,21291.76
433,152,299,85,7,4816.49
434,209,435,225,2,3120.58
435,110,122,21,8,17821.28
436,508,53,261,8,27595.28
437,929,247,84,5,22933.0
438,474,220,355,9,17176.86
439,136,270,57,3,3752.85
440,452,434,184,7,10570.0
441,768,497,100,1,2383.3
442,694,133,230,9,32271.93
443,344,455,273,2,9165.7
444,761,346,251,6,20453.4
445,361,458,100,5,20889.0
446,476,153,332,8,11058.08
447,903,174,285,4,14767.32
448,584,142,339,3,5062.02
449,53,78,298,7,22908.34
450,182,8,260,6,23000.76
451,772,291,238,5,16444.5
452,738,234,141,3,6330.48
453,806,193,202,5,10171.7
454,234,253,310,7,9202.27
455,297,155,60,9,16935.3
456,607,223,347,6,21668.82
457,328,371,58,2,3798.3
458,613,125,121,3,13972.5
459,535,79,298,9,40032.45
460,583,84,71,1,4967.42
461,419,348,73,10,33444.5
462,340,174,195,2,7383.66
463,170,355,249,7,9843.89
464,317,384,351,8,7622.72
465,892,486,187,2,7775.84
466,917,369,256,2,276.82
467,44,52,237,10,18068.2
468,732,416,345,3,12308.94
469,924,194,57,4,12856.76
470,522,439,314,1,2329.85
471,878,485,83,1,732.53
472,226,153,154,6,8293.56
473,85,429,144,8,38735.04
474,770,495,223,1,4689.28
475,110,66,150,1,2293.75
476,296,141,286,10,12106.3
477,946,283,117,3,7156.8
478,678,388,16,5,18159.85
479,640,411,43,2,2160.7
480,435,77,79,5,4051.65
481,582,437,336,10,46098.9
482,669,82,319,6,13419.6
483,750,28,3,8,1014.24
484,390,39,206,3,12818.94
485,27,307,240,1,3631.27
486,616,306,184,6,1735.62
487,513,421,268,5,14647.85
488,453,382,12,5,4673.1
489,316,22,146,10,27988.3
490,621,273,303,5,13993.8
491,979,480,83,3,6876.72
492,414,40,216,5,11628.0
493,210,190,71,7,11153.17
494,550,95,323,2,2701.04
495,13,359,115,5,1891.95
496,405,390,112,2,86.96
497,639,392,308,1,866.58
498,95,488,158,4,14236.68
499,623,240,109,10,40625.8
500,791,168,73,5,23327.5
501,575,290,21,2,8927.3
502,341,126,254,8,5419.92
503,41,29,65,9,36934.38
504,90,414,338,4,14420.68
505,971,225,297,4,11839.04
506,238,275,18,6,17538.06
507,937,118,253,7,10861.97
508,630,139,224,4,17421.92
509,151,28,247,4,507.12
510,317,462,116,8,37981.28
511,565,7,49,1,4438.12
512,349,457,82,10,33829.8
513,837,444,146,4,14237.48
514,830,46,272,9,12740.49
515,409,206,334,4,6252.08
516,338,444,18,9,32034.33
517,653,184,136,6,11702.04
518,745,194,175,9,28927.71
519,710,309,211,1,389.69
520,766,90,172,1,1471.15
521,37,128,214,2,510.2
522,447,479,279,10,1861.8
523,850,397,349,8,35575.68
524,635,147,22,4,16167.28
525,582,91,44,9,9830.43
526,116,84,137,3,14902.26
527,968,319,143,1,3371.77
528,831,271,105,7,26348.14
529,630,178,318,6,10313.82
530,330,136,243,9,1027.17
531,288,384,317,9,8575.56
532,237,62,256,10,38558.1
533,851,150,271,7,24846.22
534,603,109,104,3,1723.05
535,775,356,277,10,45923.5
536,793,162,169,1,4526.73
537,559,78,234,2,6545.24
538,452,295,37,1,2250.53
539,413,395,219,4,9089.52
540,762,316,99,3,11994.18
541,500,467,303,10,180.5
542,455,349,206,6,9286.38
543,982,403,211,3,13484.37
544,18,385,214,4,18122.16
545,940,496,350,1,3519.85
546,666,9,15,2,4199.58
547,320,161,238,3,8968.71
548,413,362,304,9,44107.02
549,662,222,123,3,6203.16
550,809,370,275,7,21257.32
551,146,70,27,4,4215.56
552,941,57,237,8,28704.48
553,339,114,339,7,25224.29
554,628,251,231,10,47603.0
555,427,427,11,2,8143.72
556,282,469,43,3,2159.97
557,588,219,329,7,11567.57
558,429,472,85,10,39749.5
559,716,309,308,10,3896.9
560,600,13,103,2,5115.52
561,457,412,289,4,14086.8
562,464,261,313,5,16070.9
563,906,283,159,8,19084.8
564,777,319,32,10,33717.7
565,553,129,18,5,2797.35
566,623,214,283,4,7056.36
567,539,488,75,10,35591.7
568,209,243,156,4,140.2
569,778,117,54,2,4517.12
570,962,463,332,2,832.24
571,850,2,336,3,5904.18
572,915,455,93,2,9165.7
573,566,398,336,9,7306.83
574,385,458,19,10,41778.0
575,586,412,155,1,3521.7
576,216,281,215,6,10608.72
577,918,323,150,2,7112.5
578,644,353,182,4,17433.56
579,28,112,279,5,19258.0
580,214,209,200,4,14711.24
581,504,6,345,9,30624.84
582,135,151,100,10,24115.9
583,698,308,13,10,6413.0
584,49,485,99,10,7325.3
585,17,101,203,10,38973.4
586,215,53,253,10,34494.1
587,79,112,298,9,34664.4
588,803,469,349,8,5759.92
589,522,6,29,3,10208.28
590,225,329,69,2,6149.2
591,38,400,217,1,4668.55
592,401,352,49,3,5001.99
593,315,457,8,3,10148.94
594,512,13,190,3,7673.28
595,259,216,32,9,17420.67
596,50,138,167,7,24961.3
597,421,395,63,6,13634.28
598,653,251,294,10,47603.0
599,167,78,10,1,3272.62
600,453,58,81,7,29793.82
601,710,216,69,9,17420.67
602,481,74,187,6,22296.54
603,558,296,112,5,16914.75
604,147,359,114,9,3405.51
605,347,468,357,6,18531.06
606,363,415,67,2,5473.52
607,39,288,158,10,7700.6
608,553,10,26,2,1284.54
609,601,434,213,4,6040.0
610,224,288,354,4,3080.24
611,472,463,187,6,2496.72
612,491,460,79,7,18578.56
613,870,497,191,9,21449.7
614,968,415,332,1,2736.76
615,658,14,28,8,23597.76
616,889,111,96,4,17248.36
617,824,267,345,3,13040.91
618,603,187,98,1,2188.49
619,519,343,171,3,6146.37
620,587,24,9,3,12771.84
621,926,403,257,4,17979.16
622,20,46,344,8,11324.88
623,161,79,178,1,4448.05
624,934,208,256,3,13214.34
625,539,424,287,5,6793.4
626,568,452,133,6,23338.56
627,16,299,68,6,4128.42
628,30,475,177,3,6821.01
629,384,102,268,9,4862.25
630,860,348,214,6,20066.7
631,731,314,149,8,26284.48
632,443,121,22,4,6647.64
633,110,15,338,6,14142.3
634,639,170,123,6,1693.32
635,114,325,53,8,20655.76
636,308,140,46,7,24288.25
637,628,189,298,4,18009.12
638,515,289,308,7,8355.34
639,802,399,70,3,4464.33
640,796,409,212,7,32086.81
641,364,477,93,2,4200.02
642,336,419,23,1,2151.01
643,926,344,60,3,2133.39
644,761,478,162,2,152.8
645,852,240,255,9,36563.22
646,39,73,83,1,3766.34
647,395,4,68,9,30093.57
648,285,295,116,1,2250.53
649,582,65,253,8,11462.08
650,125,293,223,1,2956.37
651,876,422,259,4,1094.56
652,126,137,179,10,43614.3
653,923,75,342,2,2696.12
654,410,82,127,3,6709.8
655,556,6,362,3,10208.28
656,925,337,224,7,8383.2
657,423,5,12,8,2008.96
658,548,201,63,2,9136.8
659,721,200,365,7,9447.76
660,904,9,324,3,6299.37
661,697,314,201,7,22998.92
662,864,342,164,1,2243.17
663,416,327,24,3,11460.63
664,235,164,304,1,3188.88
665,953,470,61,1,1515.73
666,90,197,19,3,13640.88
667,22,125,39,2,9315.0
668,190,153,215,5,6911.3
669,32,252,101,7,22907.29
670,695,496,303,10,35198.5
671,532,293,251,8,23650.96
672,646,474,163,5,22343.3
673,142,259,313,3,3381.24
674,51,490,140,4,18581.2
675,281,320,22,5,4414.8
676,63,246,102,9,40190.31
677,809,32,28,8,22264.24
678,811,122,251,4,8910.64
679,650,277,147,7,6050.24
680,800,23,182,3,1644.78
681,23,16,119,1,4015.57
682,950,136,295,6,684.78
683,705,367,267,1,4961.25
684,247,46,254,5,7078.05
685,654,474,311,9,40217.94
686,148,81,250,6,4524.42
687,19,390,128,4,173.92
688,109,111,356,5,21560.45
689,133,230,86,9,3179.97
690,1000,425,19,1,4427.74
691,613,444,60,4,14237.48
692,506,351,333,9,31757.94
693,588,230,301,8,2826.64
694,284,299,170,10,6880.7
695,335,468,210,4,12354.04
696,359,306,287,6,1735.62
697,111,203,242,10,16412.0
698,364,280,62,10,6944.1
699,377,211,45,8,13254.56
700,538,75,137,10,13480.6
701,676,441,16,4,14832.72
702,427,40,116,2,4651.2
703,154,301,340,1,4643.54
704,412,306,231,5,1446.35
705,694,492,346,3,8535.51
706,725,64,291,1,4338.28
707,671,439,77,8,18638.8
708,505,414,102,8,28841.36
709,271,90,18,8,11769.2
710,985,68,312,3,12702.09
711,358,463,221,8,3328.96
712,591,263,349,3,3217.98
713,580,141,364,1,1210.63
714,984,393,180,2,3573.78
715,816,5,364,7,1757.84
716,816,320,79,6,5297.76
717,313,121,232,10,16619.1
718,347,434,22,2,3020.0
719,813,204,295,5,8347.85
720,354,196,228,9,5160.42
721,205,469,93,7,5039.93
722,407,482,226,6,8702.94
723,12,390,214,3,130.44
724,977,225,338,7,20718.32
725,709,393,133,6,10721.34
726,88,425,137,7,30994.18
727,505,216,75,10,19356.3
728,841,460,179,8,21232.64
729,88,167,292,7,9062.62
730,928,334,351,2,6718.44
731,20,30,248,6,201.42
732,188,227,184,8,7560.4
733,736,151,319,7,16881.13
734,457,456,347,4,4396.36
735,556,115,295,3,3927.27
736,306,4,297,8,26749.84
737,126,47,212,9,32121.99
738,413,219,30,10,16525.1
739,566,399,212,1,1488.11
740,301,47,18,3,10707.33
741,508,241,362,2,7004.8
742,867,307,229,8,29050.16
743,599,435,139,5,7801.45
744,905,331,337,9,5931.45
745,570,155,270,7,13171.9
746,390,127,150,10,26614.7
747,592,107,5,2,3558.24
748,824,108,187,5,1164.5
749,45,51,184,5,14647.9
750,929,179,327,9,26347.05
751,165,306,274,2,578.54
752,737,226,132,8,38850.08
753,244,219,88,1,1652.51
754,536,383,131,3,3895.2
755,990,207,289,5,16475.05
756,686,219,206,5,8262.55
757,495,158,18,1,1055.27
758,535,53,249,5,17247.05
759,352,324,289,10,15512.2
760,626,133,195,2,7171.54
761,181,379,261,6,17300.16
762,109,20,58,5,9069.15
763,127,74,235,6,22296.54
764,786,341,12,4,11541.4
765,792,205,9,7,22220.8
766,309,170,253,8,2257.76
767,164,449,13,6,5947.38
768,933,493,133,2,5587.22
769,391,256,144,10,27283.6
770,3,163,150,3,5074.59
771,655,342,315,3,6729.51
772,195,465,227,7,31228.61
773,495,200,229,4,5398.72
774,201,265,227,6,11201.04
775,467,269,174,9,17399.52
776,918,9,41,6,12598.74
777,465,137,88,5,21807.15
778,443,439,26,2,4659.7
779,408,256,287,3,8185.08
780,362,470,216,8,12125.84
781,492,393,147,10,17868.9
782,400,276,348,8,34191.44
783,207,266,260,4,16901.92
784,125,159,205,1,436.13
785,811,455,120,10,45828.5
786,454,177,32,10,18721.0
787,996,359,331,2,756.78
788,820,372,346,7,19511.31
789,935,31,121,7,2053.24
790,254,169,323,9,29251.71
791,214,389,272,4,4986.4
792,741,283,88,9,21470.4
793,476,308,282,4,2565.2
794,501,232,170,8,24773.76
795,967,417,112,5,18055.3
796,116,238,14,5,106.35
797,753,55,36,4,17374.8
798,916,275,187,9,26307.09
799,989,474,238,1,4468.66
800,269,148,132,5,6517.05
801,706,456,290,4,4396.36
802,506,278,76,6,18896.52
803,493,130,26,6,25632.48
804,956,330,321,7,4834.06
805,484,83,140,3,6061.95
806,202,121,228,5,8309.55
807,752,132,103,10,17005.2
808,136,104,309,8,35273.52
809,408,276,18,1,4273.93
810,653,379,252,4,11533.44
811,416,412,265,5,17608.5
812,95,314,349,10,32855.6
813,785,168,55,10,46655.0
814,527,165,57,5,24351.95
815,12,377,159,6,6817.2
816,162,89,333,5,6782.6
817,139,251,175,8,38082.4
818,206,194,255,2,6428.38
819,546,381,148,1,4426.28
820,15,406,66,8,15351.6
821,555,7,359,6,26628.72
822,570,384,256,9,8575.56
823,266,51,16,3,8788.74
824,449,112,359,4,15406.4
825,778,95,258,8,10804.16
826,249,423,76,7,26341.42
827,1,72,219,1,678.15
828,984,196,186,2,1146.76
829,53,460,302,1,2654.08
830,154,366,129,7,22195.67
831,692,118,197,1,1551.71
832,95,426,304,5,24461.75
833,279,203,1,6,9847.2
834,905,391,357,4,14830.92
835,809,58,195,6,25537.56
836,381,496,183,3,10559.55
837,726,90,41,9,13240.35
838,212,74,303,7,26012.63
839,783,85,312,6,15655.74
840,425,447,253,5,3499.9
841,603,498,275,2,2252.62
842,164,248,151,8,11521.84
843,615,24,355,5,21286.4
844,451,197,2,9,40922.64
845,30,264,128,4,16057.68
846,25,401,251,9,19423.44
847,629,246,266,3,13396.77
848,734,44,293,1,669.38
849,524,114,318,5,18017.35
850,755,234,266,4,8440.64
851,633,389,224,1,1246.6
852,697,274,259,3,2577.48
853,510,90,317,2,2942.3
854,749,94,181,1,1050.0
855,674,193,54,2,4068.68
856,501,494,294,4,2970.24
857,405,110,41,6,16543.32
858,934,262,306,6,3112.68
859,619,339,305,3,988.08
860,641,496,74,7,24638.95
861,434,110,299,2,5514.44
862,165,384,83,8,7622.72
863,125,459,133,4,16563.96
864,973,341,254,10,28853.5
865,457,300,96,9,43276.41
866,881,457,302,2,6765.96
867,322,58,169,7,29793.82
868,535,90,184,6,8826.9
869,205,445,19,3,11103.96
870,206,216,278,5,9678.15
871,689,369,34,9,1245.69
872,937,417,353,8,28888.48
873,707,91,210,6,6553.62
874,580,58,162,9,38306.34
875,212,240,311,9,36563.22
876,751,64,28,5,21691.4
877,667,287,193,10,31037.9
878,888,369,344,3,415.23
879,178,152,280,1,1464.87
880,123,108,114,3,698.7
881,275,481,264,6,23027.22
882,344,159,12,5,2180.65
883,596,445,146,9,33311.88
884,492,134,217,9,18595.17
885,482,335,122,8,5166.96
886,427,210,175,7,27893.46
887,646,353,328,9,39225.51
888,315,115,220,5,6545.45
889,634,241,341,8,28019.2
890,547,320,1,1,882.96
891,387,26,347,7,6371.47
892,674,191,148,6,22725.54
893,375,238,5,8,170.16
894,758,135,131,10,14751.8
895,900,286,148,6,23515.68
896,430,400,58,1,4668.55
897,173,288,114,9,6930.54
898,996,325,253,5,12909.85
899,316,47,216,6,21414.66
900,518,248,222,8,11521.84
901,543,124,355,10,32104.2
902,869,293,348,10,29563.7
903,546,21,334,6,9625.8
904,523,439,139,3,6989.55
905,49,11,51,5,17406.15
906,860,37,123,9,11072.97
907,61,237,150,6,8797.2
908,534,436,33,9,6488.1
909,958,306,40,8,2314.16
910,496,313,350,1,2815.28
911,432,304,82,4,13204.64
912,283,3,331,1,2483.87
913,192,208,173,8,35238.24
914,133,386,190,5,12283.25
915,308,255,84,4,7049.48
916,17,235,156,3,13780.08
917,321,500,47,10,24213.6
918,485,369,148,7,968.87
919,392,378,86,10,14368.0
920,41,435,51,6,9361.74
921,80,128,173,6,1530.6
922,298,311,325,9,13468.41
923,878,87,114,8,36020.88
924,778,61,218,1,4972.94
925,130,4,206,1,3343.73
926,290,470,72,7,10610.11
927,654,475,128,7,15915.69
928,930,231,199,8,31968.64
929,372,354,72,9,27795.24
930,795,261,34,10,32141.8
931,787,213,331,10,20177.8
932,748,317,69,1,201.27
